date,sales,customer_segment,purchase_amount,feature1,feature2,feature3,target
2023-01-01,563,Segment A,57.99,70,296,0.136,970.24
2023-01-02,245,Segment A,441.32,14,313,0.651,761.19
2023-01-03,669,Segment B,393.91,53,127,0.965,320.01
2023-01-04,248,Segment C,331.21,45,234,0.965,613.16
2023-01-05,573,Segment C,125.31,96,440,0.173,336.82
2023-01-06,793,Segment B,61.36,33,367,0.302,832.96
2023-01-07,564,Segment C,227.6,24,62,0.665,131.78
2023-01-08,140,Segment A,108.2,10,262,0.776,858.61
2023-01-09,400,Segment B,290.6,45,287,0.261,579.52
2023-01-10,553,Segment A,59.62,32,355,0.204,854.47
2023-01-11,905,Segment A,169.67,64,480,0.514,252.0
2023-01-12,293,Segment A,58.74,13,244,0.322,961.46
2023-01-13,148,Segment A,389.83,36,147,0.208,853.05
2023-01-14,454,Segment A,16.51,74,283,0.456,249.76
2023-01-15,374,Segment A,342.32,88,244,0.606,669.41
2023-01-16,417,Segment B,283.66,44,88,0.721,538.26
2023-01-17,539,Segment A,371.13,47,119,0.396,561.19
2023-01-18,388,Segment B,286.23,25,248,0.161,314.78
2023-01-19,529,Segment C,156.37,35,157,0.511,333.02
2023-01-20,482,Segment C,315.32,43,281,0.633,235.74
2023-01-21,193,Segment B,422.2,91,370,0.854,907.16
2023-01-22,229,Segment A,327.5,72,365,0.353,586.51
2023-01-23,158,Segment A,22.23,99,197,0.181,946.41
2023-01-24,490,Segment A,243.48,40,418,0.725,604.69
2023-01-25,993,Segment B,161.84,85,279,0.494,396.68
2023-01-26,967,Segment B,131.64,67,235,0.269,666.42
2023-01-27,467,Segment B,474.67,51,277,0.264,294.96
2023-01-28,701,Segment B,325.25,32,168,0.681,164.37
2023-01-29,180,Segment A,15.87,80,139,0.729,825.41
2023-01-30,664,Segment A,292.11,52,466,0.155,533.7
2023-01-31,281,Segment A,77.35,94,266,0.922,396.34
2023-02-01,273,Segment A,477.5,43,417,0.869,711.8
2023-02-02,980,Segment C,499.34,54,304,0.307,620.68
2023-02-03,360,Segment A,417.01,63,181,0.426,917.51
2023-02-04,894,Segment B,28.19,78,387,0.498,795.39
2023-02-05,684,Segment C,204.15,81,194,0.422,573.14
2023-02-06,441,Segment C,339.97,90,54,0.876,387.66
2023-02-07,752,Segment A,110.8,71,319,0.43,413.4
2023-02-08,605,Segment A,365.68,84,97,0.593,359.66
2023-02-09,833,Segment C,494.49,47,331,0.915,721.36
2023-02-10,147,Segment C,452.54,71,176,0.877,492.6
2023-02-11,749,Segment A,202.64,74,337,0.111,530.29
2023-02-12,546,Segment A,259.05,2,79,0.696,218.34
2023-02-13,652,Segment A,82.81,47,443,0.966,193.79
2023-02-14,286,Segment A,371.07,80,269,0.772,606.02
2023-02-15,609,Segment C,163.54,88,396,0.124,378.33
2023-02-16,165,Segment A,72.02,68,199,0.154,192.17
2023-02-17,620,Segment C,79.59,30,286,0.776,507.99
2023-02-18,896,Segment B,138.19,37,241,0.54,386.3
2023-02-19,787,Segment A,225.16,83,161,0.987,767.51
2023-02-20,175,Segment C,15.98,66,356,0.731,889.68
2023-02-21,541,Segment C,334.52,49,480,0.995,692.71
2023-02-22,874,Segment B,379.65,92,398,0.987,740.6
2023-02-23,981,Segment B,351.09,31,224,0.566,639.36
2023-02-24,418,Segment B,481.44,62,87,0.815,196.49
2023-02-25,483,Segment A,419.38,62,360,0.355,916.38
2023-02-26,997,Segment B,74.96,91,282,0.623,574.97
2023-02-27,704,Segment B,50.8,4,239,0.505,352.78
2023-02-28,906,Segment C,54.99,65,224,0.763,326.69
2023-03-01,651,Segment C,352.55,94,157,0.284,586.52
2023-03-02,967,Segment A,345.95,73,177,0.487,272.77
2023-03-03,951,Segment A,240.79,85,386,0.172,764.52
2023-03-04,772,Segment B,111.14,47,219,0.618,981.85
2023-03-05,316,Segment C,487.71,27,344,0.693,382.49
2023-03-06,879,Segment A,203.07,8,76,0.199,565.93
2023-03-07,935,Segment A,175.61,19,234,0.334,192.12
2023-03-08,459,Segment A,63.2,3,271,0.953,554.83
2023-03-09,795,Segment A,194.65,98,423,0.723,794.01
2023-03-10,733,Segment B,174.65,69,278,0.222,225.5
2023-03-11,195,Segment A,488.49,5,497,0.394,924.16
2023-03-12,809,Segment B,432.2,88,379,0.174,708.82
2023-03-13,119,Segment B,440.19,67,134,0.615,822.76
2023-03-14,890,Segment B,229.24,31,429,0.566,618.3
2023-03-15,244,Segment A,47.25,73,438,0.96,441.36
2023-03-16,340,Segment A,73.0,94,422,0.712,334.88
2023-03-17,454,Segment A,132.53,14,292,0.685,299.33
2023-03-18,813,Segment A,30.01,38,369,0.444,557.39
2023-03-19,112,Segment A,200.57,42,79,0.744,236.54
2023-03-20,366,Segment C,498.4,30,362,0.171,702.18
2023-03-21,477,Segment A,212.33,75,245,0.288,233.78
2023-03-22,981,Segment A,49.51,57,202,0.723,698.92
2023-03-23,985,Segment C,138.62,30,66,0.314,109.94
2023-03-24,445,Segment C,481.14,16,274,0.44,529.51
2023-03-25,573,Segment A,69.82,6,497,0.66,223.69
2023-03-26,323,Segment C,172.58,2,175,0.708,517.51
2023-03-27,753,Segment C,317.65,20,214,0.323,685.83
2023-03-28,843,Segment C,59.68,34,219,0.484,818.45
2023-03-29,836,Segment C,436.59,32,243,0.877,741.76
2023-03-30,998,Segment B,418.05,55,343,0.202,254.95
2023-03-31,984,Segment B,202.9,14,256,0.37,147.1
2023-04-01,854,Segment C,244.08,18,256,0.557,231.32
2023-04-02,699,Segment C,327.53,22,138,0.382,872.49
2023-04-03,222,Segment A,295.51,87,476,0.544,493.25
2023-04-04,924,Segment C,449.83,12,175,0.197,909.48
2023-04-05,383,Segment A,40.79,34,101,0.136,706.38
2023-04-06,179,Segment C,58.85,19,320,0.708,543.82
2023-04-07,482,Segment B,287.61,69,161,0.379,136.88
2023-04-08,341,Segment A,261.73,40,396,0.615,614.37
2023-04-09,919,Segment B,362.88,76,228,0.57,553.25
2023-04-10,601,Segment A,350.56,76,350,0.316,152.13
2023-04-11,266,Segment C,292.03,43,284,0.986,352.76
2023-04-12,840,Segment B,179.12,49,338,0.674,543.3
2023-04-13,414,Segment A,430.79,88,476,0.651,693.31
2023-04-14,376,Segment C,361.12,71,355,0.392,346.04
2023-04-15,264,Segment C,143.37,29,119,0.469,825.83
2023-04-16,860,Segment B,384.01,16,321,0.59,523.78
2023-04-17,126,Segment C,75.17,62,146,0.152,699.34
2023-04-18,123,Segment B,297.6,13,423,0.631,640.77
2023-04-19,618,Segment A,479.91,46,257,0.912,474.95
2023-04-20,135,Segment A,332.14,22,425,0.64,741.12
2023-04-21,100,Segment C,295.61,17,117,0.648,527.11
2023-04-22,676,Segment A,106.78,48,429,0.782,466.28
2023-04-23,515,Segment C,94.02,7,102,0.639,742.59
2023-04-24,582,Segment C,31.19,42,98,0.69,163.72
2023-04-25,379,Segment B,109.52,93,191,0.442,378.49
2023-04-26,302,Segment B,212.92,35,460,0.414,300.97
2023-04-27,982,Segment B,425.81,96,283,0.326,407.33
2023-04-28,930,Segment C,59.39,53,152,0.359,977.3
2023-04-29,140,Segment A,372.92,64,368,0.637,892.93
2023-04-30,977,Segment A,368.71,18,83,0.207,331.02
2023-05-01,605,Segment B,274.41,58,394,0.64,804.62
2023-05-02,978,Segment B,41.25,69,286,0.775,223.63
2023-05-03,637,Segment A,115.55,5,113,0.76,793.95
2023-05-04,965,Segment C,151.63,69,482,0.226,445.96
2023-05-05,937,Segment A,398.8,66,223,0.447,805.59
2023-05-06,595,Segment C,246.12,69,499,0.166,112.87
2023-05-07,625,Segment A,14.91,19,243,0.357,240.9
2023-05-08,606,Segment A,300.99,46,382,0.348,521.17
2023-05-09,840,Segment A,474.35,31,182,0.391,704.43
2023-05-10,776,Segment A,219.86,95,164,0.817,835.82
2023-05-11,756,Segment B,454.23,15,172,0.394,743.11
2023-05-12,732,Segment C,437.77,85,476,0.864,786.28
2023-05-13,638,Segment A,204.52,23,371,0.889,474.4
2023-05-14,678,Segment A,16.19,87,100,0.391,459.57
2023-05-15,543,Segment B,57.17,46,74,0.174,901.88
2023-05-16,291,Segment A,397.62,64,321,0.379,940.62
2023-05-17,763,Segment B,122.91,59,254,0.709,446.72
2023-05-18,209,Segment A,431.0,42,379,0.45,344.17
2023-05-19,326,Segment C,475.26,41,177,0.289,923.51
2023-05-20,495,Segment A,145.07,26,458,0.639,327.68
2023-05-21,783,Segment A,374.73,4,167,0.42,675.8
2023-05-22,857,Segment C,341.87,15,499,0.227,512.73
2023-05-23,275,Segment C,472.07,28,340,0.131,729.0
2023-05-24,494,Segment C,214.85,51,268,0.652,742.34
2023-05-25,202,Segment B,498.22,26,113,0.337,884.59
2023-05-26,450,Segment B,263.63,88,390,0.289,961.71
2023-05-27,187,Segment A,374.89,63,75,0.983,147.03
2023-05-28,767,Segment A,379.23,72,475,0.797,218.37
